"Kalenderwoche";"Seife";"Toilettenpapier";"Mehl";"Desinfektionsmittel";"Hefe"
"32. KW 2019";96,5092581;97,00002953;71,45644738;105,0908161;84,3214438
"33. KW 2019";94,67640936;98,63923037;83,79257476;100,4236204;94,13606871
"34. KW 2019";114,3856076;89,85417539;72,32259714;96,08335393;90,35196562
"35. KW 2019";95,12220888;98,72927031;75,53540142;101,0774787;86,86391611
"36. KW 2019";93,67811422;98,57241125;99,88504415;126,025556;95,69528426
"37. KW 2019";103,7033215;95,89727718;79,62040823;96,01571341;92,20364622
"38. KW 2019";82,12958253;94,24670288;77,55097005;88,21450716;86,59298222
"39. KW 2019";96,77335734;107,0119972;110,1583914;93,58065481;95,94289271
"40. KW 2019";108,537394;101,0233933;96,94582455;100,0515976;105,7557234
"41. KW 2019";94,01087926;91,31945698;84,67385641;90,10844162;90,55830599
"42. KW 2019";84,74627783;89,94468923;83,0014792;91,14559621;91,13785331
"43. KW 2019";83,73741872;89,55656969;103,9252605;87,24499308;91,04275731
"44. KW 2019";126,7729185;115,1753027;107,0424312;94,03159159;113,3023984
"45. KW 2019";114,274686;106,3419105;119,0002612;91,43870512;105,0075152
"46. KW 2019";97,44733861;98,69467601;107,796605;88,42870213;109,5452092
"47. KW 2019";93,92531111;93,33350831;123,8715214;88,24832741;108,8633889
"48. KW 2019";121,2109885;100,6011533;161,7515007;96,77103252;108,6050148
"49. KW 2019";102,0975981;104,0918597;136,4769965;93,14099145;103,1558346
"50. KW 2019";102,0944289;102,7464734;129,0387614;95,32803483;103,4752136
"51. KW 2019";106,799621;128,8642172;151,9042677;114,3462934;147,8922227
"52. KW 2019";89,00355762;97,05452739;92,06851164;85,95982327;118,1540886
"01. KW 2020";88,5905064;116,1406256;90,10136508;101,0549319;127,1917972
"02. KW 2020";121,2247216;101,0087025;76,70661022;96,26372864;83,20900003
"03. KW 2020";81,73237727;89,86365328;78,29243298;90,31136317;85,62766811
"04. KW 2020";84,3015347;89,53950949;99,77367339;99,57811396;87,02360562
"05. KW 2020";122,5145823;104,7486774;87,30680642;190,0360316;94,34420335
"06. KW 2020";95,79830294;97,2578281;81,03675375;161,3902728;88,75865905
"07. KW 2020";85,70654267;87,63113661;82,19040954;136,9945931;89,26823007
"08. KW 2020";86,50517878;98,63164806;84,55824872;126,5554067;100,3836965
"09. KW 2020";222,4486794;155,9003684;250,229516;758,656035;196,4826902
"10. KW 2020";252,6500124;198,8048747;199,3028153;850,5118566;150,685892
"11. KW 2020";335,0257355;230,6728535;292,4063487;306,208619;231,734598
"12. KW 2020";436,6395037;310,8335183;205,3301524;50,69656724;151,5435502
"13. KW 2020";232,7200272;145,8542804;239,3593667;264,6773417;63,46850583
"14. KW 2020";229,4959036;71,14529713;157,3559874;375,5401485;127,7318707
"15. KW 2020";111,6093964;35,76291718;156,4008621;163,3743946;138,6984132
"16. KW 2020";109,5441403;35,32835598;91,18783526;170,9501325;138,669705
"17. KW 2020";127,0412434;92,46580761;116,0253303;198,7954785;129,5620201
"18. KW 2020";124,317852;100,7646469;114,1513963;73,43505426;110,0655458
"19. KW 2020";125,0805706;80,55447107;99,97462497;156,5877961;155,0638965
"20. KW 2020";137,85241;71,86514277;86,23849452;252,0511119;152,3491748
"21. KW 2020";118,7781063;71,11022894;80,9126722;248,2181493;118,5255013
"22. KW 2020";127,5599343;90,55222189;85,96551511;187,2853172;129,4095077
"23. KW 2020";111,3252256;81,40937662;68,47243737;103,5689044;110,1014311
"24. KW 2020";118,9492426;86,81129925;68,51117502;180,4874453;141,4974653
"25. KW 2020";120,7123691;96,49533196;71,45221044;194,6468601;126,6445466
"26. KW 2020";115,5571519;87,4022456;64,51332794;167,7597548;89,48354177
"27. KW 2020";118,6397183;97,61419671;73,71654745;196,0898578;94,79097513
"28. KW 2020";115,8550558;94,28034938;73,71352107;172,0098339;95,53559475
"29. KW 2020";121,5500919;98,2364201;71,8444292;153,4537855;95,10676562
"30. KW 2020";108,7169815;99,44816816;66,48531671;136,4196487;97,88966932
"31. KW 2020";120,3859424;109,3108591;73,25290614;146,4417186;109,5003526
"32. KW 2020";119,8345032;110,2643347;66,17057326;126,6794143;96,0236346
"33. KW 2020";144,1200132;102,9275011;62,28228111;146,4868123;96,64086147
"34. KW 2020";125,0457095;104,5321076;69,53167013;142,1690926;103,5918408
"35. KW 2020";118,3555475;106,9627122;82,39257168;127,4798271;117,7467907
"36. KW 2020";117,2040748;158,5721852;118,440381;108,3601077;116,2396088
"37. KW 2020";124,2692577;92,7131805;78,01521664;110,1976751;105,9172071
"38. KW 2020";157,8975425;100,8158275;75,06812845;114,8310505;99,02005573
"39. KW 2020";130,9541377;111,0585817;102,2141457;133,1052634;107,7527394
"40. KW 2020";113,4517527;96,2958224;89,52514246;121,3132666;107,6540548
"41. KW 2020";129,6346979;121,3553599;99,00376249;152,5180917;115,2312323
"42. KW 2020";162,3333534;189,762495;128,3947479;172,4720441;134,80486
