mortalit,sex,icd10,unit,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PRVT,T,TOTAL,RT,AT	166.32 	168.77 	164.11 	160.94 	164.53 	158.9 	155.4 p
PRVT,T,TOTAL,RT,BE	170.35 	168.5 	165.79 	159.46 	158.22 	152.97 	148.32 p
PRVT,T,TOTAL,RT,BG	221.54 	235.2 	237.6 	242.5 	243.23 	230.82 	229.59 p
PRVT,T,TOTAL,RT,CH	122.66 	121.54 	120.94 	115.14 	115.54 	110.46 	109 p
PRVT,T,TOTAL,RT,CY	107.47 	112.01 	106.53 	107.49 	108.62 	98.19 	110.59 p
PRVT,T,TOTAL,RT,CZ	221.51 	215.27 	215.93 	200.34 	201.98 	190.95 	194.29 p
PRVT,T,TOTAL,RT,DE	162.77 	160.04 	161.39 	155.12 	158.95 	156.63 	154.84 p
PRVT,T,TOTAL,RT,DK	182.64 	181.85 	171.95 	172.57 	163.69 	160.2 	156.9 p
PRVT,T,TOTAL,RT,EE	298.84 	300.57 	279.22 	278.79 	269.73 	260.97 	247.08 p
PRVT,T,TOTAL,RT,EL	148.68 	150.99 	149.77 	141.9 	144.17 	139.96 	140.99 p
PRVT,T,TOTAL,RT,ES	125.74 	123.97 	122 	118.79 	118.09 	116.15 	115.65 p
PRVT,T,TOTAL,RT,EU27_2020	175.96 	173.11 	169.25 	164.06 	164.37 	160.42 	: 
PRVT,T,TOTAL,RT,EU28	173.69 	170.87 	167.29 	162.45 	162.85 	159.47 	: 
PRVT,T,TOTAL,RT,FI	187.62 	182.15 	178.48 	167.97 	162.65 	165.4 	162.17 p
PRVT,T,TOTAL,RT,FR	143.18 	138.95 	136.32 	131.54 	131.96 	128.78 	: 
PRVT,T,TOTAL,RT,HR	258.88 	253.17 	241.75 	237.7 	243.48 	230.54 	230.27 p
PRVT,T,TOTAL,RT,HU	357.67 	348.28 	331 	329.37 	333.68 	324.43 	326.97 p
PRVT,T,TOTAL,RT,IE	157.15 	152.17 	149.06 	146.62 	136.22 	137.42 	130.04 p
PRVT,T,TOTAL,RT,IS	136.38 	128.69 	128.63 	115.59 	124.33 	138.27 	125.58 p
PRVT,T,TOTAL,RT,IT	123.17 	120.54 	114.82 	111.24 	111.97 	108.08 	107.31 p
PRVT,T,TOTAL,RT,LI	141.55 	108.03 	136.68 	100.38 	90.56 	116.26 	97.92 p
PRVT,T,TOTAL,RT,LT	376.47 	367.22 	360.32 	340.25 	339.24 	331.24 	302.98 p
PRVT,T,TOTAL,RT,LU	148.63 	150.38 	145.52 	143.97 	133.01 	138.45 	130.33 p
PRVT,T,TOTAL,RT,LV	367.37 	362.28 	357.91 	345.35 	338.3 	329.11 	322.17 p
PRVT,T,TOTAL,RT,MT	133.31 	129.97 	118.09 	121.73 	114.01 	115.15 	120.55 p
PRVT,T,TOTAL,RT,NL	140.68 	139.25 	136 	131.82 	134.75 	133.47 	129.06 p
PRVT,T,TOTAL,RT,NO	142.51 	135.63 	136.41 	127.66 	127.71 	128.47 	119.8 p
PRVT,T,TOTAL,RT,PL	243.52 	240.37 	233.59 	222.73 	220.01 	216.76 	220.88 p
PRVT,T,TOTAL,RT,PT	147.98 	142.05 	140.17 	142.94 	140.56 	138.98 	137.5 p
PRVT,T,TOTAL,RT,RO	334.83 	328.65 	314.3 	315.24 	310.28 	306.46 	304.7 p
PRVT,T,TOTAL,RT,RS	250.48 	244.41 	237.67 	232.62 	237.32 	233.84 	234.15 p
PRVT,T,TOTAL,RT,SE	126.69 	124.9 	125.7 	123.24 	121.27 	120.38 	117.73 p
PRVT,T,TOTAL,RT,SI	208.32 	203.11 	199.4 	187.97 	192.14 	183.58 	188.07 p
PRVT,T,TOTAL,RT,SK	279.21 	275.44 	260.42 	252.23 	257.75 	243.36 	240.86 p
PRVT,T,TOTAL,RT,TR	179.45 	171.08 	196.41 	190.25 	184.1 	184.34 	177.94 p
PRVT,T,TOTAL,RT,UK	157.38 	154.59 	153.11 	150.65 	151.63 	152.21 	151.44 p
TOTAL,T,TOTAL,RT,AT	247.6 	248.66 	242.86 	238.6 	243.55 	236.69 	232.14 p
TOTAL,T,TOTAL,RT,BE	252.66 	250.54 	247.43 	234.32 	232.15 	224.47 	219.87 p
TOTAL,T,TOTAL,RT,BG	416.63 	441.31 	430.44 	443.29 	440.69 	425.17 	421.66 p
TOTAL,T,TOTAL,RT,CH	185.12 	181.2 	178.56 	171.44 	171.35 	163.16 	161.15 p
TOTAL,T,TOTAL,RT,CY	186.62 	196.25 	180.59 	180.95 	188.22 	169.4 	185.35 p
TOTAL,T,TOTAL,RT,CZ	369.25 	360.74 	358.88 	332.2 	337.27 	319.14 	322.76 p
TOTAL,T,TOTAL,RT,DE	257.25 	252.04 	252.93 	242.54 	248.32 	243.55 	240.63 p
TOTAL,T,TOTAL,RT,DK	273.87 	268.74 	252.37 	250.6 	241.49 	236.23 	230.37 p
